Name,Street Address,City,State,Zip Code,County,Phone,Description,Resource Type,Web Link,Notes,Latitude,Longitude
Jacobs And Cushman San Diego Food Bank,4070 Mission Ave,Oceanside,CA,92057,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,33.232379,-117.317361
Jacobs And Cushman San Diego Food Bank,410 W 18th St,National City,CA,91950,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.666072,-117.108167
Jacobs And Cushman San Diego Food Bank,4177 Marlborough Ave,San Diego,CA,92105,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.753011,-117.105043
Jacobs And Cushman San Diego Food Bank,4735 Cass St,San Diego,CA,92109,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.800924,-117.252579
Jacobs And Cushman San Diego Food Bank,4772 Felton St,San Diego,CA,92116,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.765062,-117.121435
Jacobs And Cushman San Diego Food Bank,525 W Vista Way,Vista,CA,92083,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,33.196769,-117.253286
Jacobs And Cushman San Diego Food Bank,11740 Bernardo Plaza Ct,San Diego,CA,92128,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.020041,-117.077795
Jacobs And Cushman San Diego Food Bank,7710 El Cajon Blvd,La Mesa,CA,91942,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.768889,-117.031048
Jacobs And Cushman San Diego Food Bank,8175 Lemon Grove Way,Lemon Grove,CA,91945,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.744571,-117.024116
Jacobs And Cushman San Diego Food Bank,990 Saturn Blvd,San Diego,CA,92154,San Diego,(619) 323-2841,"COVID-19 Update: By appointment only, schedule an appointment online at www.ccdsd.org/efdn or call (619) 323-2841 follow the prompts (opt2) (English/Spanish and Vietnamese) Phone in option going live April 14, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.578788,-117.09338
Jacobs And Cushman San Diego Food Bank,3293 Santo Rd,San Diego,CA,92124,San Diego,(866) 350-3663,"COVID-19 Update: Extended hours will be from 9:00 am-1:00 pm on April 13; April 20; April 27th; and May 4th, 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.810997,-117.112862
Jacobs And Cushman San Diego Food Bank,8804 Balboa Ave,San Diego,CA,92123,San Diego,(858) 637-3356,"COVID-19 Update: Food distribution hours are 11:00 am-1:00 pm, Monday-Friday. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.821236,-117.138573
Jacobs And Cushman San Diego Food Bank,663 E San Ysidro Blvd,San Diego,CA,92173,San Diego,(619) 662-7592,"COVID-19 Update: Hearts and Hands Working Together temporary hours are 3:00 pm-6:00 pm, Monday-Friday walk-ins only. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.547457,-117.032635
Jacobs And Cushman San Diego Food Bank,650 2nd St,Encinitas,CA,92024,San Diego,(866) 350-3663,"COVID-19 Update: Hours for this location is from 8:30 am-12:30 pm, Monday-Friday. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,33.043896,-117.294675
Jacobs And Cushman San Diego Food Bank,3060 54th St,San Diego,CA,92105,San Diego,(866) 350-3663,"COVID-19 Update: Hours will be 11:00 am-2:00 pm, Monday and Wednesday through the end of April 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",Food Pantry,https://my211.force.com/s/,,32.737224,-117.079769
Jacobs And Cushman San Diego Food Bank,10122 Buena Vista Ave,Santee,CA,92071,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.835865,-116.976758
Jacobs And Cushman San Diego Food Bank,1052 9th St,Imperial Bch,CA,91932,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.577483,-117.114447
Jacobs And Cushman San Diego Food Bank,111 Richmar Ave,San Marcos,CA,92069,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.143969,-117.162847
Franklin Community Center,1136 E Montecito St,Santa Barbara,CA,93103,Santa Barbara,805-937-3422 Ext 103,"3rd Tuesday each month, 1:30pm
Every Thursday 1pm. Walk-in",Mobile Food Pantry,https://foodbanksbc.org/get-help/,,34.426827,-119.680088
Jacobs And Cushman San Diego Food Bank,1221 D Ave,National City,CA,91950,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.673039,-117.10085
Jacobs And Cushman San Diego Food Bank,12219 Roberts Way,Lakeside,CA,92040,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.857701,-116.92778
Jacobs And Cushman San Diego Food Bank,1250 Barrett Lake Rd,Dulzura,CA,91917,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.622068,-116.691541
Jacobs And Cushman San Diego Food Bank,13230 Pomerado Rd,Poway,CA,92064,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.958828,-117.062641
Jacobs And Cushman San Diego Food Bank,1387 Third Ave,Chula Vista,CA,91911,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.60383,-117.065147
Jacobs And Cushman San Diego Food Bank,1388 E Palomar St,Chula Vista,CA,91913,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.623308,-116.998445
Jacobs And Cushman San Diego Food Bank,140 N Brandon Rd,Fallbrook,CA,92028,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.382733,-117.244561
Jacobs And Cushman San Diego Food Bank,1400 Vale Terrace Dr,Vista,CA,92084,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.207223,-117.220737
Jacobs And Cushman San Diego Food Bank,14866 Lyons Valley Rd,Jamul,CA,91935,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.73094,-116.840324
Jacobs And Cushman San Diego Food Bank,1600 W 9th Ave,Escondido,CA,92029,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.111216,-117.104691
Jacobs And Cushman San Diego Food Bank,1607 Grandon Ave,San Marcos,CA,92078,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.13504,-117.204197
Jacobs And Cushman San Diego Food Bank,215 7th St,Ramona,CA,92065,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.045323,-116.864572
Jacobs And Cushman San Diego Food Bank,2258 Island Ave,San Diego,CA,92102,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.710875,-117.143167
Jacobs And Cushman San Diego Food Bank,2300 Bancroft Dr,Spring Valley,CA,91977,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.73109,-117.00737
Jacobs And Cushman San Diego Food Bank,24883 Potrero Valley Rd,Potrero,CA,91963,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.610991,-116.612628
Jacobs And Cushman San Diego Food Bank,250 W Orange Ave,El Centro,CA,92243,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.78892,-115.547808
Jacobs And Cushman San Diego Food Bank,2605 Highland Ave,National City,CA,91950,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.662765,-117.092101
Jacobs And Cushman San Diego Food Bank,2875 Cowley Way,San Diego,CA,92110,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.793854,-117.1911
Jacobs And Cushman San Diego Food Bank,29765 Oak Drive,Campo,CA,91906,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.678691,-116.506195
Jacobs And Cushman San Diego Food Bank,30950 Hwy 79,Warner Springs,CA,92086,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.250039,-116.673102
Jacobs And Cushman San Diego Food Bank,3368 Eureka Pl,Carlsbad,CA,92008,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.159266,-117.338584
Jacobs And Cushman San Diego Food Bank,3839 Lake Blvd,Oceanside,CA,92056,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.179488,-117.290424
Jacobs And Cushman San Diego Food Bank,3909 Centre St,San Diego,CA,92103,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.748919,-117.147694
Jacobs And Cushman San Diego Food Bank,39550 Old Highway 80,Boulevard,CA,91905,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.668869,-116.297076
Jacobs And Cushman San Diego Food Bank,4101 University Ave,San Diego,CA,92105,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.749372,-117.106636
Jacobs And Cushman San Diego Food Bank,4106 Swift Ave,San Diego,CA,92104,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.751735,-117.119502
Jacobs And Cushman San Diego Food Bank,44681 Old Highway 80,Jacumba,CA,91934,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.617467,-116.178158
Jacobs And Cushman San Diego Food Bank,455 Sycamore Rd,San Diego,CA,92173,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.547708,-117.045327
Jacobs And Cushman San Diego Food Bank,4635 Clairemont Mesa Blvd,San Diego,CA,92117,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.833796,-117.190455
Jacobs And Cushman San Diego Food Bank,5319 Orange Ave,San Diego,CA,92115,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.75133,-117.081573
Jacobs And Cushman San Diego Food Bank,545 Encinas Ave,Calexico,CA,92231,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.671639,-115.488732
Jacobs And Cushman San Diego Food Bank,580 Hilltop Dr,Chula Vista,CA,91910,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.634815,-117.064366
Jacobs And Cushman San Diego Food Bank,5825 Imperial Ave,San Diego,CA,92114,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.708424,-117.072465
Jacobs And Cushman San Diego Food Bank,6299 Capri Dr,San Diego,CA,92120,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.782781,-117.062966
Jacobs And Cushman San Diego Food Bank,641 S Boundary St,San Diego,CA,92113,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.69941,-117.105832
Jacobs And Cushman San Diego Food Bank,660 S 3rd St,El Cajon,CA,92019,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.78843,-116.927404
Jacobs And Cushman San Diego Food Bank,6869 Tait St,San Diego,CA,92111,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.780339,-117.171524
Jacobs And Cushman San Diego Food Bank,730 F St,San Diego,CA,92101,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.713783,-117.158065
Jacobs And Cushman San Diego Food Bank,8070 Orange Ave,La Mesa,CA,91942,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.764821,-117.023423
Jacobs And Cushman San Diego Food Bank,8150 Broadway,Lemon Grove,CA,91945,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.744445,-117.022021
Jacobs And Cushman San Diego Food Bank,890 Balour Dr,Encinitas,CA,92024,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,33.041353,-117.268823
Jacobs And Cushman San Diego Food Bank,990 Naranca Ave,El Cajon,CA,92021,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein.",Food Pantry,https://my211.force.com/s/,,32.804712,-116.948365
Jacobs And Cushman San Diego Food Bank,210 E Park Ave,Escondido,CA,92025,San Diego,(866) 350-3663,"Provides food and nutrition education to eligible low-income seniors 60 years or older once a month. USDA food is given to registered participants on a monthly basis at a local distribution center. 30 pound boxes usually contain canned and packaged food including vegetables, fruit juice, pasta, milk, cereal, canned meat, and a non-meat protein. COVID-19 Update: Building is closed but food distribution is held at the backside of the building.",Food Pantry,https://my211.force.com/s/,,33.128941,-117.084515
